YEAR,STRATUM,AOU,SPECIES,POP
1976,45,1499,Generic scaup,35677
1976,45,1500,Ring-necked duck,584
1976,45,1519,Generic goldeneye,0
1976,45,1530,Bufflehead,0
1976,45,1670,Ruddy duck,17789
1976,45,1720,Canada goose,948.59
1976,45,2210,American coot,56039
1976,45,9991,Pond,505099
1976,46,1320,Mallard,106708
1976,46,1350,Gadwall,22852
1976,46,1370,American wigeon,8729
1976,46,1390,Green-winged teal,2701
1976,46,1400,Blue-winged teal,104561
1976,46,1420,Northern shoveler,24220
1976,46,1430,Northern pintail,55320
1976,46,1460,Redhead,21523
1976,46,1470,Canvasback,3973
1976,46,1499,Generic scaup,11678
1976,46,1500,Ring-necked duck,539
1976,46,1519,Generic goldeneye,0
1976,46,1530,Bufflehead,0
1976,46,1670,Ruddy duck,5049
1976,46,1720,Canada goose,0
1976,46,2210,American coot,22413
1976,46,9991,Pond,221770
1977,45,1320,Mallard,149351
1977,45,1350,Gadwall,78641
1977,45,1370,American wigeon,12848
1977,45,1390,Green-winged teal,0
1977,45,1400,Blue-winged teal,101030
1977,45,1420,Northern shoveler,40314
1977,45,1430,Northern pintail,41027
1977,45,1460,Redhead,22812
1977,45,1470,Canvasback,6937
1977,45,1499,Generic scaup,17551
1977,45,1500,Ring-necked duck,292
1977,45,1519,Generic goldeneye,0
1977,45,1530,Bufflehead,0
1977,45,1670,Ruddy duck,16819
1977,45,1720,Canada goose,1660.04
1977,45,2210,American coot,36447
1977,45,9991,Pond,179186
1977,46,1320,Mallard,52385
1977,46,1350,Gadwall,17766
1977,46,1370,American wigeon,3698
1977,46,1390,Green-winged teal,1351
1977,46,1400,Blue-winged teal,48492
1977,46,1420,Northern shoveler,16305
1977,46,1430,Northern pintail,15419
1977,46,1460,Redhead,8212
1977,46,1470,Canvasback,1517
1977,46,1499,Generic scaup,1062
1977,46,1500,Ring-necked duck,1078
1977,46,1519,Generic goldeneye,0
1977,46,1530,Bufflehead,0
1977,46,1670,Ruddy duck,4310
1977,46,1720,Canada goose,291.68
1977,46,2210,American coot,8302
1977,46,9991,Pond,60127
1978,45,1320,Mallard,237526
1978,45,1350,Gadwall,109484
1978,45,1370,American wigeon,17367
1978,45,1390,Green-winged teal,10981
